Have you developed a game?,What region are you based?,Where are you located?,What platforms do you build for?,What is the primary engine you use in developing games?,What category of games do you mostly create?,Which of these best describe you?,How long have you been operating?,How many employees do you have?,What percentage of your employees reside outside your main country of operation?,What is the ratio of male to female in your organisation?,"To date, how many games do you have published?",Which of these core competences do you have in your teams?,What was your 2022 revenue?,What are your sources of revenue?,What percentage of your revenue comes from outside your country of operation?,What's your gender?,What's your age group?,How long have you been making games?,Is game development a full time occupation for you?,"If you work at a game studio, where is the studio located?","To date, how many games do you have published?",Which of these core competences do you possess?,Do you earn any income from making games?,What is your main source of income?,What percentage of your income comes from outside your country of residence?,Have you ever raised external funding?,"If yes, from what source? Select all that apply.",How much external funding have you raised?,Have you applied for or participated in any accelerator or support programme?,Were you successful?,Please list the ones you applied to below even if you were not successful.,Did you or your studio attend any international gaming events?,"If yes, please name some of the gaming events you've attended",How important are the following to the development of the games industry in your country? [Power supply],How important are the following to the development of the games industry in your country? [High speed internet],How important are the following to the development of the games industry in your country? [Affordable internet],How important are the following to the development of the games industry in your country? [Training opportunities],How important are the following to the development of the games industry in your country? [Community events],How important are the following to the development of the games industry in your country? [Co-working space],How important are the following to the development of the games industry in your country? [Industry associations],How important are the following to the development of the games industry in your country? [Mobile network operators (like MTN or Safaricom)],How important are the following to the development of the games industry in your country? [Alternative payment methods (like mobile money)],How important are the following to the development of the games industry in your country? [Government support],How would you rate the current state of these infrastructure in your country? [Power supply],How would you rate the current state of these infrastructure in your country? [High speed internet],How would you rate the current state of these infrastructure in your country? [Affordable internet],How would you rate the current state of these infrastructure in your country? [Training opportunities],How would you rate the current state of these infrastructure in your country? [Community events],How would you rate the current state of these infrastructure in your country? [Co-working space],How would you rate the current state of these infrastructure in your country? [Industry associations],How would you rate the current state of these infrastructure in your country? [Mobile network operators (like MTN or Safaricom)],How would you rate the current state of these infrastructure in your country? [Alternative payment methods (like mobile money)],How would you rate the current state of these infrastructure in your country? [Government support],What is your outlook for the African games industry in the next 3 years?,What type of support does the industry need to succeed?,"Please leave us a comment, this can be something specific to your market that we have not captured.", , , , , , 
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games, Adver Games",Employee at a games studio,,,,,,,,,,Male,18 - 24,5 - 10 years,"Yes, I work as a full time game developer at a game studio","Lagos, Nigeria ",10 - 20,"Development/Programming, Game Design","Yes, I do",Salary from my job as a game developer,"Zero, I earn all my income from my country of residence",No,,,Yes,No,Digital labs,"No, I haven't",,Critical,Critical,Critical,Critical,Critical,Important,Critical,Critical,Important,Important,Poor,Poor,Poor,Poor,Poor,Good,Poor,Poor,Poor,Poor,2,Need help ,,,,,,,
"No, I/we have not yet developed a game",West Africa,"Ile-Ife, Nigeria","Mobile, PC",Unity,"Serious/Educational Games, Adver Games, Kids Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,Less than a year,"Yes, I spend most of my time apart from my academic pursuit on game development",,None,"Development/Programming, Audio, Animation","No, I don't",Profits from my other online business,"Zero, I earn all my income from my country of residence",No,,,No,,,"Yes, I have",I attended some Local game development programmes like OAU GDSC and some game jam.,Critical,Critical,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Good,Poor,Poor,Really Poor,Poor,Really Poor,Really Poor,Good,Poor,Really Poor,3,"I believe that there should be more awareness, empowerment and training programs for people who are just starting or have already begun the development process. Also, some Game studios should try to offer internships to beginners that are just starting out in the Game development process.",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria",PC,Unreal,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,"Yes, I am a full time independent game developer",Lagos,None,"Development/Programming, Narrative, AR/VR","Yes, I do",Work for hire as a freelancer,50 - 75%,No,,,No,,,"No, I haven't",,Important,Important,Important,Unimportant,Important,Important,Important,Important,Unimportant,Important,Poor,Poor,Poor,Good,Poor,Poor,Poor,Poor,Poor,Poor,4,Serious funding ,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Kiambu, Kenya","Mobile, PC",Unity,Entertainment Games,Game studio,2 - 5 years,1 - 5,0%,Male 75% Female 25%,1 - 5,"Game Design, UI/UX, Narrative, Localization",$1k - $5k,"Work for hire, Licensing games to 3rd parties","Zero, all our revenue comes from our country of operation",,,,,,,,,,,Not applicable,,,No,,,"No, I haven't",,Critical,Very Important,Critical,Important,Critical,Critical,Important,Important,Critical,Important,Poor,Poor,Really Poor,Really Poor,Poor,Poor,Really Poor,Poor,Poor,Really Poor,3,Having a ,"Having a united organization, where things like funding and support can be shared equally, and projects like the development of custom engines would help.. also studio scouting to prop up competition is another way to go. Supporting more than one gaming media startup tobe able to push the gaming message far and wide in africa.",,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya","Mobile, PC, VR",Unreal,"Entertainment Games, Serious/Educational Games, Kids Games, Corporate/Training Games",Game studio,2 - 5 years,1 - 5,5 - 25%,male 60% female 40%,None,"Development/Programming, Art (2D/3D, Game Design, Narrative, Audio, Animation, AR/VR",$10k - $50k,Building third party games,50 - 75%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency",Less than $10K,Yes,Yes,"ARVR Africa, Electric South, SOTA and Unreal fellowship programme","No, I haven't",,Very Important,Very Important,Critical,Critical,Critical,Very Important,Critical,Very Important,Important,Very Important,Good,Good,Good,Really Poor,Poor,Poor,Really Poor,Poor,Good,Really Poor,3,Gaming in my region is just picking interest from a developers point of View. This has lead to a growth of interest in the field but the lack of both education and opportunities has pushed away quite a number of people to more lucrative fields. We need to form partnerships with industry movers and shakers enable us to grow and avoid common pitfalls that they have already learned from.,,,,,,,
"Yes, I/we are developing a game",Southern Africa,Malawi,Mobile,Unity,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,1 - 2 years,"No, I develop games in my spare time",,None,"Development/Programming, Game Design, UI/UX","No, I don't",Building third party games,5 - 25%,No,,,No,,,"No, I haven't",,Critical,Very Important,Critical,Critical,Critical,Very Important,Very Important,Important,Important,Important,Good,Good,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Really Poor,Really Poor,3,Trainings and networking events,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nyeri, Kenya",PC,Unreal,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,Less than a year,"No, I develop games in my spare time",,1 - 5,"Art (2D/3D, Game Design, Animation","No, I don't",Financial aid from my parents,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Poor,Very Good,Very Good,Good,Good,Good,Poor,Very Good,Very Good,Poor,4,"more game development clubs in universities, access to more and cheaper game development and running equipment such as smartphones and gaming PCs",,,,,,,
"No, I/we have not yet developed a game",West Africa,"Ouagadougou, Burkina Faso",Mobile,Unity,"Entertainment Games, Corporate/Training Games",Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time",,None,"Development/Programming, Game Design, UI/UX, Narrative, Audio","No, I don't",Work for hire as a freelancer,50 - 75%,Not applicable,,Less than $10K,No,,,"No, I haven't",,Critical,Critical,Critical,Critical,Very Important,Important,Important,Important,Very Important,Very Important,Poor,Good,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Good,Really Poor,4,A lot of potential investors and government do not see the economical impact gaming can have in Africa. They should've been granting scholarships for people who are willing to learn professional skills in this growing industry.,KissUbuntuBantu,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Dakar, Senegal",Mobile,Unity,"Entertainment Games, Serious/Educational Games",Game studio,2 - 5 years,5 - 10,0%,"Male 80%, Female 20%",5 - 10,"Development/Programming, Art (2D/3D, UI/UX, Narrative, Animation, Localization",$100k - $250k,"Building third party games, grants",75 - 100%,,,,,,,,,,,No,,,Yes,Yes,"AGCM, Black Founders Fund","Yes, I have",Africa Games Week,Critical,Important,Critical,Very Important,Important,Important,Important,Critical,Critical,Critical,Good,Good,Good,Really Poor,Really Poor,Poor,Really Poor,Good,Really Poor,Really Poor,3,"funding,  access to market, training, expert advisors",,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Cape Town, South Africa","Mobile, PC, Console",Unity,Entertainment Games,Game studio,Over 10 years,5 - 10,25 - 50%,"Male 80%, Non-binary 20%",5 - 10,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Vfx, QA, AR/VR",$100k - $250k,Revenue from games,75 - 100%,,,,,,,,,,,Yes,"Investors, Crowd funding",$100k - $500k,Yes,Yes,"Digital Labs Africa, Nordic Game Discovery Contest, Stugan, Astra Games Fellowship ","Yes, I have","GDC, Gamescom, Nordic Games Festival, Roguelike Celebration, Indiecade, Paris Games Week, Africa Games Week, Playtopia, AMAZE JHB, rAge, EGE, MakeGames meetups, Game.Dev meetups",Critical,Critical,Critical,Very Important,Very Important,Unimportant,Very Important,Unimportant,Unimportant,Very Important,Poor,Very Good,Good,Poor,Good,Good,Good,Good,Poor,Really Poor,3,"Government support is probably the largest potential impact, either for skills development/training, tax relief or grant funding. Online community could be better, we're losing a lot of experience and information at the moment on temporary chat systems. Power in South Africa is a massive issue with no concrete solutions in sight. Addressing privilege in the industry is going to be impossible without extensive financial support. Access to international funding markets needs to keep getting better.",Mobile games are a hellscape and not the path to income that many people tout them as.,,,,,,
"Yes, I/we are developing a game",West Africa,"Ibadan, Nigeria","Mobile, PC","CopperCube Engine, Godot Engine",Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,"No, I develop games in my spare time",,None,"Development/Programming, Art (2D/3D, Game Design","No, I don't",I'm a Student (no income yet),"Zero, I earn all my income from my country of residence",No,,,No,,,"Yes, I have",Global Game Jam (GGJ),Critical,Critical,Critical,Very Important,Very Important,Very Important,Very Important,Very Important,Critical,Important,Good,Good,Good,Poor,Good,Poor,Really Poor,Good,Really Poor,Really Poor,3,"The industry needs more support in terms of funding, support(both community and government), access to opportunities like access to publishers and investors for game promotion. The industry also need to access to training opportunities for upcoming game developers for better understanding of the market, for encouragement and also for help in making good and interesting games which can compete with games from other countries. The industry also needs better payment methods for indie game developers especially in Nigeria. For example, on itch.io, the only 2 payment methods are Paypal and Stripe which are currently not available in Nigeria, so creators who upload their games on itch.io from Nigeria cannot hope to make any substantial income from the platform. The industry also needs more exposure or showcase of games to other countries of the world, especially good Nigerian made games.",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Ile-Ife, Nigeria","Mobile, PC",Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,1 - 2 years,"Yes, I am a full time independent game developer",,None,"Development/Programming, Narrative, Animation","No, I don't",None,"Zero, I earn all my income from my country of residence",No,,,No,No,,"No, I haven't",,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Really Poor,4,"A lot of support, most importantly funding",,,,,,,
"Yes, I/we are developing a game",West Africa,"Ile-Ife, Nigeria",PC,Unreal,Entertainment Games,Freelancer on game projects,,,,,,,,,,Male,18 - 24,1 - 2 years,"Yes, I am a full time independent game developer","Ile ife, Nigeria ",None,"Development/Programming, Game Design","Yes, I do",Work for hire as a freelancer,75 - 100%,No,,,No,,,"No, I haven't",,Critical,Very Important,Critical,Important,Important,Critical,Very Important,Critical,Unimportant,Important,Good,Good,Poor,Poor,Good,Good,Poor,Poor,Very Good,Really Poor,3,"A lot of funding and support for new developers, Connections to triple A game studios and internship opportunities for talented African game devs ",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Accra, Ghana","Mobile, PC",Proprietary Engine,Adver Games,Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time","Accra, Ghana",None,Development/Programming,"No, I don't",Salary from my job,50 - 75%,No,,,No,,,"No, I haven't",,Critical,Very Important,Very Important,Very Important,Important,Very Important,Important,Unimportant,Important,Unimportant,Good,Good,Good,Really Poor,Poor,Poor,Poor,Good,Poor,Really Poor,3,Opportunities for devs to showcase and market their games,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Accra, Ghana",XR,Unity,"Entertainment Games, Serious/Educational Games, Corporate/Training Games",Game studio,1 - 2 years,1 - 5,0%,Female 25%,1 - 5,"Development/Programming, Game Design, UI/UX, AR/VR",$1k - $5k,"Building third party games, Work for hire, Licensing games to 3rd parties","Zero, all our revenue comes from our country of operation",,,,,,,,,,,No,,,No,,,"Yes, I have",Africa Games week,Critical,Critical,Critical,Important,Very Important,Very Important,Critical,Critical,Critical,Critical,Poor,Poor,Really Poor,Good,Good,Poor,Poor,Poor,Good,Really Poor,2,"Better and affordable internet. 
More effort in building a vibrant community ",,,,,,,
"Yes, I/we have developed game(s)",Central Africa,"Yaoundé, Cameroon","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Game studio,5 - 10 years,20 - 50,0%,"Male 19%, Female 9%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation",$50k - $100k,"Revenue from games, Funding",50 - 75%,,,,,,,,,,,Yes,"Government, Grant funding from international agency, Crowd funding",$500k - $1m,Yes,Yes,"Africa Game Co-Production Marketplace by SpeilFabrique (Won),	Black Founders Fund (Not succesful)","Yes, I have","Africa Games Week, GDC (online), PG Connect (online).",Critical,Critical,Critical,Important,Important,Unimportant,Important,Important,Critical,Important,Poor,Poor,Poor,Good,Poor,Poor,Really Poor,Poor,Good,Good,3,"The African Gaming Industry needs lots of opportunities in terms of fundings, networking, strategic partnerships so that African gaming studios can scale and access the global market. ","-	We have a huge challenge to train and maintain senior in studio.
-	The most challenging work will also be to reeducate the mindset of our teams for the infinite excellence requirement gaming ask. It’s hard for every studio in the world.
",,,,,,
"Yes, I/we have developed game(s)",West Africa,"Ile-Ife, Nigeria","Mobile, PC",Unity,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Female,18 - 24,1 - 2 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX","No, I don't",Not from game development,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Critical,Critical,Very Important,Very Important,Very Important,Critical,Very Important,Good,Poor,Poor,Good,Good,Good,Poor,Really Poor,Good,Poor,4,"Lots of bootcamps and training, internship opportunities, community to help developers grow, funding to support various gamers",,,,,,,
"Yes, I/we are developing a game",Central Africa,Cameroon,Mobile,Unity,"Entertainment Games, Serious/Educational Games",Game studio,1 - 2 years,1 - 5,0%,Male 75% Female 25% ,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Audio, Animation",Less than $1k,Work for hire,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,No,,,Yes,,Digilab Africa 2018 ,"No, I haven't",,Important,Important,Unimportant,Important,Important,Important,Unimportant,Important,Important,Important,Really Poor,Poor,Poor,Poor,Poor,Really Poor,Poor,Good,Good,Poor,3,"Community, high speed internet ,power supply, Electronic paiement ",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Port Harcourt, Nigeria","Mobile, PC",Godot,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,1 - 2 years,"Yes, I am a full time independent game developer",,1 - 5,Development/Programming,"No, I don't",Revenue from my published games,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Good,Poor,Poor,Poor,Good,Good,Poor,Good,Poor,Really Poor,2,"There should be active Game communities that host game jams, trainings, events, hackathons etc. this way people who really want to make games will find it easy connecting with other game devs and also find tutors and mentors to guide them.",,,,,,,
